985141000100001;Luna;Labrador Retriever;Giulia Rossi
985141000100002;Rocky;Pastore Tedesco;Marco Bianchi
985141000100003;Bella;Golden Retriever;Sara Conti
985141000100004;Milo;Beagle;Luca De Angelis
985141000100005;Nala;Border Collie;Elena Grassi
985141000100006;Thor;Rottweiler;Davide Moretti
985141000100007;Maya;Barboncino;Francesca Greco
985141000100008;Zoe;Cavalier King;Alessia Lombardi
985141000100009;Leo;Bulldog Francese;Federico Marchetti
985141000100010;Kira;Siberian Husky;Anna Rinaldi
985141000100011;Jack;Jack Russell Terrier;Simone Ferri
985141000100012;Molly;Bassotto;Chiara Galli
985141000100013;Otto;Carlino;Paolo Fontana
985141000100014;Chanel;Chihuahua;Ilaria Ricci
985141000100015;Shadow;Dobermann;Giorgio Martini
985141000100016;Lolly;Cocker Spaniel;Valentina Neri
985141000100017;Argo;Maremmano Abruzzese;Alberto Testa
985141000100018;Sushi;Shiba Inu;Matteo Riva
985141000100019;Daisy;Setter Inglese;Roberta Parisi
985141000100020;Balto;Alaskan Malamute;Carlo Benetti
985141000100021;Pippo;Meticcio;Nicoletta Colombo
985141000100022;Nero;Pitbull;Massimo Caruso
985141000100023;Lillo;Maltese;Serena Pagani
985141000100024;Bobby;Pinscher;Andrea Fabbri
985141000100025;Ginevra;Akita Inu;Beatrice Fiore
985141000100026;Cleo;American Staffordshire;Lorenzo Puglisi
985141000100027;Artù;Barbone Nano;Claudia Marchegiani
985141000100028;Olga;Bull Terrier;Enrico Gentile
985141000100029;Tito;Dalmata;Silvia Pellegrini
985141000100030;Yuki;Samoyedo;Filippo Serra
